uid,sex,yrborn,col_area,dam,sire,cuid,fur_mark,age,year
9662_10178,F,2025,northpk,,,9662_10178,anemone,P,2025
9747_8635,M,2021,picnic_lower,6127_7339,7300_7374,9866_8635,division_sign,A,2023
9748_9728,M,2022,picnic_lower,8918_8385,7300_7374,9748_9728,ski_poles,A,2024
9757_9008,F,2022,river_rivermound,8536_7837,8592_8249,9757_9008,strawberry,A,2024
9829_9831,F,2021,picnic_lower,8918_8385,7300_7374,9829_9831,fire,A,2025
9836_9827,M,2025,gothictown,,,9836_9827,gradescope,P,2025
9843_9684,F,2022,river_rivermound,8536_7837,8592_8249,9843_8909,bow,Y,2023
9851_9852,M,2023,river,,,9851_9852,ghost,Y,2024
9898_8637,M,2022,picnic_lower,8918_8385,7300_7374,9898_8637,mirrored_square_root,Y,2023
9911_9902,F,2022,picnic_lower,,,9911_9902,taurus,Y,2023
9914_9390,M,2023,mm_maintalus,,,9914_9390,adidas,Y,2024
9926_4419,M,N/A,picnic_upper,,,9926_4419,crayon,A,2025
9934_10109,F,2024,gothictown,,,9934_10109,hannah,Y,2025
9937_9948,M,2025,horsemound,,,9937_10921,key,P,2025
9942_10151,M,2025,mm_maintalus,,,9942_10151,fork,P,2025
9945_9474,M,2025,river_rivermound,,,9945_9474,bird_tracks,P,2025
9952_9490,M,2024,picnic_upper,,,9952_9490,target,Y,2025
9954_9924,M,2022,river_rivermound,8536_7837,8592_8249,9954_9924,sandwich,Y,2023
9964_10271,M,2025,bench,,,9964_10271,golf,P,2025
9979_9976,M,2022,picnic_lower,,,9979_9976,leo,Y,2023
9984_9382,M,N/A,picnic_lower,,,9984_9382,bull,A,2024
